brand,type,identity,dia_in
national,nozzle,1,0.0553
national,nozzle,2,0.0628
national,nozzle,3,0.0705
national,nozzle,4,0.0798
national,nozzle,5,0.0903
national,nozzle,6,0.1016
national,nozzle,7,0.1145
national,nozzle,8,0.1291
national,nozzle,9,0.1458
national,nozzle,10,0.1643
national,nozzle,11,0.1858
national,nozzle,12,0.2099
national,nozzle,13,0.237
national,nozzle,14,0.2675
national,nozzle,15,0.3017
national,nozzle,16,0.3404
national,nozzle,17,0.3841
national,nozzle,18,0.4335
national,nozzle,19,0.4981
national,nozzle,20,0.5519
national,throat,1,0.0903
national,throat,2,0.1016
national,throat,3,0.1151
national,throat,4,0.1291
national,throat,5,0.1458
national,throat,6,0.1643
national,throat,7,0.1858
national,throat,8,0.2099
national,throat,9,0.237
national,throat,10,0.2675
national,throat,11,0.3017
national,throat,12,0.3404
national,throat,13,0.3841
national,throat,14,0.4335
national,throat,15,0.4981
national,throat,16,0.5519
national,throat,17,0.6228
national,throat,18,0.7027
national,throat,19,0.7929
national,throat,20,0.8947
kobe,nozzle,1,0.0553
kobe,nozzle,2,0.0628
kobe,nozzle,3,0.0714
kobe,nozzle,4,0.0814
kobe,nozzle,5,0.0924
kobe,nozzle,6,0.1046
kobe,nozzle,7,0.1189
kobe,nozzle,8,0.1354
kobe,nozzle,9,0.1539
kobe,nozzle,10,0.1748
kobe,nozzle,11,0.1987
kobe,nozzle,12,0.2257
kobe,nozzle,13,0.2566
kobe,nozzle,14,0.2916
kobe,nozzle,15,0.3315
kobe,nozzle,16,0.3766
kobe,nozzle,17,0.428
kobe,nozzle,18,0.4864
kobe,nozzle,19,0.5528
kobe,nozzle,20,0.6283
kobe,throat,1,0.0874
kobe,throat,2,0.099
kobe,throat,3,0.1128
kobe,throat,4,0.1282
kobe,throat,5,0.1458
kobe,throat,6,0.1655
kobe,throat,7,0.1881
kobe,throat,8,0.2138
kobe,throat,9,0.2431
kobe,throat,10,0.2762
kobe,throat,11,0.3139
kobe,throat,12,0.3568
kobe,throat,13,0.4056
kobe,throat,14,0.4608
kobe,throat,15,0.5237
kobe,throat,16,0.5953
kobe,throat,17,0.6765
kobe,throat,18,0.7688
kobe,throat,19,0.8737
kobe,throat,20,0.9929
kobe,throat,21,1.1284
kobe,throat,22,1.2824
kobe,throat,23,1.4574
kobe,throat,24,1.6562
guiberson,nozzle,DD,0.0451
guiberson,nozzle,CC,0.0597
guiberson,nozzle,BB,0.0696
guiberson,nozzle,A,0.0837
guiberson,nozzle,A+,0.0957
guiberson,nozzle,B,0.11
guiberson,nozzle,B+,0.1162
guiberson,nozzle,C,0.1251
guiberson,nozzle,C+,0.1359
guiberson,nozzle,D,0.1501
guiberson,nozzle,E,0.1752
guiberson,nozzle,F,0.1999
guiberson,nozzle,G,0.2399
guiberson,nozzle,H,0.2901
guiberson,nozzle,I,0.3299
guiberson,nozzle,J,0.4001
guiberson,nozzle,K,0.4499
guiberson,nozzle,L,0.4999
guiberson,nozzle,M,0.56
guiberson,nozzle,N,0.63
guiberson,nozzle,P,0.7
guiberson,throat,000,0.0748
guiberson,throat,00,0.0951
guiberson,throat,0,0.1151
guiberson,throat,1,0.1349
guiberson,throat,2,0.1551
guiberson,throat,3,0.1752
guiberson,throat,4,0.1999
guiberson,throat,5,0.22
guiberson,throat,6,0.2399
guiberson,throat,7,0.26
guiberson,throat,8,0.2901
guiberson,throat,9,0.32
guiberson,throat,10,0.35
guiberson,throat,11,0.3901
guiberson,throat,12,0.43
guiberson,throat,13,0.475
guiberson,throat,14,0.525
guiberson,throat,15,0.576
guiberson,throat,16,0.631
guiberson,throat,17,0.691
guiberson,throat,18,0.758
guiberson,throat,19,0.831
guiberson,throat,20,0.911
petrolift,nozzle,1,0.0672
petrolift,nozzle,2,0.0752
petrolift,nozzle,3,0.0841
petrolift,nozzle,4,0.094
petrolift,nozzle,5,0.1051
petrolift,nozzle,6,0.1174
petrolift,nozzle,7,0.1313
petrolift,nozzle,8,0.1468
petrolift,nozzle,9,0.1641
petrolift,nozzle,10,0.1835
petrolift,nozzle,11,0.2133
petrolift,throat,1,0.096
petrolift,throat,2,0.1073
petrolift,throat,3,0.12
petrolift,throat,4,0.1341
petrolift,throat,5,0.15
petrolift,throat,6,0.1677
petrolift,throat,7,0.1875
petrolift,throat,8,0.2096
petrolift,throat,9,0.2343
petrolift,throat,10,0.262
petrolift,throat,11,0.2929
petrolift,throat,12,0.3275
petrolift,throat,13,0.3661
petrolift,throat,14,0.4093
