,api,sw_name,bu_id,project,azimuth,dog_leg,inclination,meas_depth,subsea_depth,tvd_depth
0,500292361500,MPE-35,MILNEPT,MILNE_SCHRADER,0.0,0.0,0.0,0.0,-48.72,0.0
1,500292361500,MPE-35,MILNEPT,MILNE_SCHRADER,0.0,0.0,0.0,27.02,-21.7,27.02
2,500292361500,MPE-35,MILNEPT,MILNE_SCHRADER,318.03,0.19,0.14,100.0,51.28,99.99993
3,500292361500,MPE-35,MILNEPT,MILNE_SCHRADER,319.7,0.11,0.25,196.0,147.28,195.99936
4,500292361500,MPE-35,MILNEPT,MILNE_SCHRADER,345.87,0.5,0.32,225.0,176.28,224.99901
5,500292361500,MPE-35,MILNEPT,MILNE_SCHRADER,352.06,0.14,0.36,262.56,213.84,262.55835
6,500292361500,MPE-35,MILNEPT,MILNE_SCHRADER,19.21,0.77,0.47,291.48,242.76,291.47761
7,500292361500,MPE-35,MILNEPT,MILNE_SCHRADER,39.09,2.64,2.1,354.46,305.72,354.43984
8,500292361500,MPE-35,MILNEPT,MILNE_SCHRADER,37.99,4.75,4.83,411.99,363.14,411.85924
9,500292361500,MPE-35,MILNEPT,MILNE_SCHRADER,35.25,3.37,7.01,477.28,428.08,476.79726
10,500292361500,MPE-35,MILNEPT,MILNE_SCHRADER,36.09,1.13,7.71,540.16,490.44,539.15881
11,500292361500,MPE-35,MILNEPT,MILNE_SCHRADER,34.75,0.42,7.9,602.91,552.61,601.32753
12,500292361500,MPE-35,MILNEPT,MILNE_SCHRADER,42.58,1.82,7.45,665.39,614.53,663.24937
13,500292361500,MPE-35,MILNEPT,MILNE_SCHRADER,45.44,2.13,8.7,727.12,675.65,724.36636
14,500292361500,MPE-35,MILNEPT,MILNE_SCHRADER,45.65,3.12,10.69,790.86,738.47,787.19289
15,500292361500,MPE-35,MILNEPT,MILNE_SCHRADER,40.06,4.75,13.48,854.48,800.68,849.39895
16,500292361500,MPE-35,MILNEPT,MILNE_SCHRADER,40.47,5.64,17.07,918.21,862.15,910.86751
17,500292361500,MPE-35,MILNEPT,MILNE_SCHRADER,40.01,2.07,18.38,981.86,922.77,971.49471
18,500292361500,MPE-35,MILNEPT,MILNE_SCHRADER,37.48,4.71,21.12,1042.83,980.15,1028.87384
19,500292361500,MPE-35,MILNEPT,MILNE_SCHRADER,39.77,2.11,22.17,1106.76,1039.58,1088.29624
20,500292361500,MPE-35,MILNEPT,MILNE_SCHRADER,38.99,4.1,24.71,1169.21,1096.87,1145.58819
21,500292361500,MPE-35,MILNEPT,MILNE_SCHRADER,39.56,0.42,24.59,1232.46,1154.35,1203.0745
22,500292361500,MPE-35,MILNEPT,MILNE_SCHRADER,42.12,1.99,23.96,1294.24,1210.67,1259.39344
23,500292361500,MPE-35,MILNEPT,MILNE_SCHRADER,42.22,0.07,23.94,1358.16,1269.09,1317.80999
24,500292361500,MPE-35,MILNEPT,MILNE_SCHRADER,40.01,2.0,24.81,1421.24,1326.55,1375.268
25,500292361500,MPE-35,MILNEPT,MILNE_SCHRADER,40.54,0.51,25.04,1484.48,1383.9,1432.61794
26,500292361500,MPE-35,MILNEPT,MILNE_SCHRADER,41.27,1.02,24.47,1547.85,1441.44,1490.16462
