,api,sw_name,bu_id,project,azimuth,dog_leg,inclination,meas_depth,subsea_depth,tvd_depth
0,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,0.0,0.0,0.0,0.0,-62.9,0.0
1,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,102.0,0.0,0.75,82.0,19.1,81.99766
2,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,71.0,1.36,2.0,186.0,123.07,185.96678
3,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,61.0,0.96,2.75,275.0,211.99,274.89007
4,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,70.0,0.9,3.4,365.0,301.86,364.76053
5,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,82.0,1.48,4.45,455.0,391.65,454.54969
6,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,90.0,1.8,6.0,550.0,486.25,549.1533
7,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,108.0,5.05,9.8,639.0,574.41,637.3053
8,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,108.09,2.81,13.18,759.13,692.11,755.01076
9,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,108.55,0.26,13.41,855.13,785.54,848.43782
10,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,106.65,0.57,13.73,952.15,879.85,942.74976
11,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,109.31,0.77,14.08,1047.25,972.16,1035.06372
12,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,111.61,0.76,14.52,1141.66,1063.65,1126.54902
13,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,110.81,0.64,15.11,1239.1,1157.85,1220.74946
14,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,110.72,0.78,15.86,1335.02,1250.29,1313.18694
15,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,113.25,0.82,16.22,1430.49,1342.04,1404.94119
16,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,113.59,2.59,13.77,1525.18,1433.5,1496.39989
17,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,111.85,0.44,13.85,1622.22,1527.74,1590.63512
18,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,113.19,0.48,13.51,1719.53,1622.28,1685.18471
19,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,107.08,1.59,13.96,1815.26,1715.28,1778.18196
20,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,106.51,0.35,14.27,1912.44,1809.53,1872.42786
21,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,107.54,0.31,14.42,2008.18,1902.28,1965.18295
22,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,108.07,0.48,14.86,2103.74,1994.74,2057.64021
23,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,107.99,0.25,15.1,2200.37,2088.09,2150.98614
24,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,108.61,0.18,15.15,2296.97,2181.34,2244.2398
25,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,109.27,0.44,15.54,2393.6,2274.52,2337.42482
26,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,109.0,0.47,15.91,2474.14,2352.05,2414.95038
27,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,111.33,2.12,17.97,2576.54,2450.0,2512.90315
28,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,111.16,3.75,21.61,2673.63,2541.34,2604.24364
29,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,109.88,3.9,25.4,2771.77,2631.32,2694.22469
30,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,104.2,5.23,29.63,2866.92,2715.71,2778.60777
31,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,98.28,6.04,34.36,2960.87,2795.38,2858.28342
32,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,92.03,5.3,37.85,3056.45,2872.62,2935.52077
33,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,85.2,6.5,42.24,3151.93,2945.73,3008.63234
34,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,81.97,5.27,46.75,3247.74,3014.07,3076.96596
35,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,78.0,5.11,50.55,3342.27,3076.52,3139.42049
36,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,75.94,3.13,53.06,3437.78,3135.58,3198.47733
37,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,74.43,2.89,55.58,3534.8,3192.16,3255.0626
38,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,74.1,3.01,58.49,3631.89,3244.99,3307.88627
39,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,74.03,0.37,58.14,3727.68,3295.3,3358.19979
40,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,77.28,3.52,60.08,3824.14,3344.83,3407.72895
41,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,82.78,5.34,61.78,3919.67,3391.27,3454.17039
42,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,86.64,3.74,62.82,4015.16,3435.67,3498.57071
43,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,86.56,0.66,63.45,4110.87,3478.92,3541.82088
44,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,85.89,1.74,61.87,4207.93,3523.5,3586.3966
45,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,85.63,1.89,60.07,4303.96,3570.09,3632.99498
46,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,86.57,1.2,60.88,4399.64,3617.25,3680.14681
47,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,86.29,0.94,61.75,4495.58,3663.3,3726.19704
48,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,85.17,1.88,60.22,4592.08,3710.1,3773.00301
49,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,84.21,0.98,59.78,4687.77,3757.95,3820.84874
50,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,84.13,0.88,60.63,4784.18,3805.85,3868.75426
51,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,83.73,4.68,56.16,4879.96,3856.04,3918.93617
52,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,84.07,0.3,56.2,4976.67,3909.86,3972.76368
53,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,84.82,2.56,58.57,5072.42,3961.47,4024.36894
54,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,83.46,2.9,61.06,5167.53,4009.29,4072.18756
55,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,82.72,0.7,61.22,5262.65,4055.2,4118.09971
56,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,82.92,0.27,61.03,5356.79,4100.66,4163.55996
57,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,83.7,0.75,61.28,5453.97,4147.54,4210.44417
58,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,84.1,5.16,66.24,5550.42,4190.17,4253.07464
59,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,84.68,6.1,72.06,5646.16,4224.24,4287.13628
60,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,84.75,5.38,77.26,5742.81,4249.8,4312.69591
61,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,85.99,4.71,81.63,5839.11,4267.43,4330.33247
62,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,85.07,1.03,82.01,5934.72,4281.04,4343.93645
63,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,84.93,0.16,81.95,6031.46,4294.53,4357.43349
64,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,83.59,1.47,81.52,6126.35,4308.17,4371.07467
65,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,83.21,0.51,81.45,6201.7,4319.33,4382.23166
66,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,86.34,4.62,83.13,6277.98,4329.57,4392.46745
67,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,88.74,11.01,87.1,6320.06,4333.15,4396.05062
68,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,92.09,6.35,86.23,6374.51,4336.32,4399.21906
69,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,93.04,2.81,87.16,6421.81,4339.05,4401.94599
70,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,93.22,0.97,87.59,6469.6,4341.23,4404.13471
71,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,93.8,1.44,87.96,6517.26,4343.09,4405.98507
72,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,93.24,1.14,87.96,6566.42,4344.84,4407.73504
73,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,92.12,6.25,85.12,6615.23,4347.78,4410.6806
74,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,93.26,3.39,86.23,6662.04,4351.31,4414.21078
75,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,92.67,1.21,86.1,6711.75,4354.64,4417.53558
76,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,94.55,11.66,91.17,6758.11,4355.74,4418.63969
77,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,93.04,3.14,91.61,6808.18,4354.53,4417.42504
78,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,92.53,1.24,91.85,6853.64,4353.15,4416.05261
79,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,91.65,2.67,90.8,6905.02,4351.96,4414.86451
80,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,91.55,1.55,90.12,6949.25,4351.61,4414.50942
81,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,90.22,2.62,89.94,7000.44,4351.58,4414.48261
82,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,92.31,4.75,89.44,7045.68,4351.83,4414.72741
83,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,92.65,8.09,89.52,7050.0,4351.87,4414.76662
84,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,92.4,4.75,87.35,7096.0,4353.12,4416.02285
85,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,94.35,14.0,93.58,7142.62,4352.74,4415.64465
86,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,94.08,5.02,96.0,7191.16,4348.69,4411.59166
87,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,96.83,6.54,94.57,7238.37,4344.34,4407.24244
88,500292318900,MPG-16,MILNEPT,MILNE_SCHRADER,99.71,6.01,94.14,7286.72,4340.67,4403.57017
