,api,sw_name,bu_id,project,azimuth,dog_leg,inclination,meas_depth,subsea_depth,tvd_depth
0,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,0.0,0.0,0.0,0.0,-67.58,0.0
1,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,270.34,0.0,0.62,176.43,108.85,176.42656
2,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,230.34,2.28,1.23,213.8,146.21,213.79185
3,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,236.69,4.09,5.05,307.53,239.78,307.36398
4,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,211.49,3.85,7.42,400.12,331.84,399.41635
5,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,194.4,4.89,11.17,494.58,425.06,492.63663
6,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,199.86,7.51,18.1,588.62,515.99,583.57424
7,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,206.73,3.38,20.3,681.79,603.99,671.56779
8,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,210.08,1.51,21.1,776.6,692.68,760.25974
9,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,213.62,1.63,21.44,858.3,768.82,836.39757
10,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,222.37,3.83,22.87,952.06,855.68,923.25676
11,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,232.61,4.23,23.2,1046.91,943.0,1010.57946
12,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,233.11,0.43,22.83,1143.94,1032.31,1099.88613
13,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,238.46,2.27,22.21,1238.38,1119.55,1187.13363
14,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,238.73,1.82,23.95,1334.29,1207.78,1275.36356
15,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,239.55,1.49,25.32,1429.12,1293.98,1361.56058
16,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,238.55,4.19,29.33,1525.44,1379.54,1447.11601
17,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,239.04,3.1,32.28,1620.95,1461.56,1529.14221
18,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,240.25,3.19,35.25,1716.3,1540.82,1608.40117
19,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,239.41,4.18,39.2,1811.51,1616.62,1684.19934
20,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,237.06,3.82,42.49,1906.63,1688.57,1756.15053
21,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,235.53,4.22,46.33,2001.03,1755.99,1823.57483
22,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,236.59,0.8,46.38,2096.77,1822.07,1889.65472
23,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,237.71,2.31,44.33,2191.97,1888.97,1956.55071
24,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,238.47,0.56,44.36,2287.01,1956.94,2024.51875
25,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,236.77,1.42,43.73,2381.63,2024.95,2092.53337
26,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,236.96,0.71,43.07,2476.46,2093.85,2161.43436
27,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,238.01,0.76,43.19,2572.37,2163.85,2231.43107
28,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,238.99,1.02,42.48,2667.57,2233.66,2301.24322
29,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,236.98,1.43,42.28,2763.42,2304.47,2372.05024
30,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,237.7,1.31,43.41,2857.56,2373.49,2441.07287
31,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,242.56,3.52,42.93,2952.87,2443.02,2510.60458
32,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,249.06,4.65,42.48,3048.21,2513.12,2580.70034
33,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,256.32,5.14,41.89,3143.71,2583.93,2651.5066
34,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,263.6,5.24,40.7,3238.12,2654.9,2722.4794
35,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,271.65,5.65,39.04,3333.99,2728.53,2796.10708
36,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,279.74,5.6,37.38,3428.1,2802.52,2870.09851
37,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,288.09,5.51,38.58,3523.73,2877.95,2945.52585
38,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,295.68,6.0,41.45,3618.07,2950.23,3017.81491
39,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,297.13,1.01,41.59,3713.99,3022.05,3089.63446
40,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,302.65,3.92,42.34,3810.11,3093.55,3161.12927
41,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,309.16,4.85,43.55,3904.79,3162.89,3230.46937
42,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,316.53,6.12,46.03,3998.77,3229.63,3297.20708
43,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,322.85,5.02,47.27,4093.61,3294.76,3362.34423
44,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,328.53,4.59,48.56,4189.74,3359.22,3426.80169
45,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,332.42,5.22,52.45,4283.86,3419.09,3486.66556
46,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,338.05,6.59,56.65,4378.14,3473.78,3541.36456
47,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,340.62,2.43,55.77,4473.28,3526.7,3594.28275
48,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,344.03,4.0,58.3,4568.67,3578.61,3646.19398
49,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,345.47,5.26,63.12,4663.43,3624.96,3692.54208
50,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,347.36,4.42,67.07,4760.91,3666.01,3733.58783
51,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,348.62,2.7,69.36,4856.24,3701.39,3768.96659
52,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,351.86,4.96,72.94,4951.18,3732.06,3799.64384
53,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,354.17,6.7,78.95,5046.92,3755.31,3822.88756
54,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,358.36,6.91,83.84,5139.69,3769.19,3836.77049
55,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,0.4,2.27,83.1,5234.74,3780.0,3847.58168
56,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,0.67,0.59,82.6,5330.3,3791.9,3859.4765
57,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,0.03,1.24,81.6,5426.13,3805.07,3872.6485
58,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,359.4,0.77,81.97,5520.38,3818.54,3886.11651
59,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,0.5,1.55,82.98,5616.35,3831.11,3898.68557
60,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,357.96,2.67,82.71,5711.39,3842.95,3910.52581
61,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,358.12,0.56,82.2,5806.71,3855.46,3923.04247
62,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,358.46,1.46,80.85,5902.04,3869.51,3937.09243
63,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,358.44,3.2,83.9,5997.41,3882.17,3949.74619
64,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,0.81,5.6,88.92,6096.56,3888.37,3955.95429
65,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,1.93,1.81,89.87,6177.7,3889.23,3956.81174
66,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,0.91,3.66,89.69,6205.96,3889.34,3956.92049
67,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,2.43,1.85,90.61,6301.78,3889.09,3956.67042
68,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,3.67,1.67,91.6,6396.67,3887.26,3954.84125
69,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,2.53,1.2,91.6,6491.77,3884.61,3952.18662
70,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,2.45,1.76,93.27,6586.63,3880.58,3948.15735
71,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,4.16,2.09,94.32,6682.57,3874.23,3941.80784
72,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,4.04,0.53,93.83,6777.76,3867.46,3935.04427
73,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,3.88,2.22,91.72,6873.07,3862.85,3930.43101
74,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,2.72,2.56,89.56,6968.67,3861.78,3929.364
75,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,1.58,1.44,90.3,7062.94,3861.9,3929.47996
76,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,1.1,0.78,90.86,7157.92,3860.94,3928.51929
77,500292370800,MPI-29,MILNEPT,MILNE_SCHRADER,0.6,2.76,88.26,7254.01,3861.68,3929.25794
