,api,sw_name,bu_id,project,azimuth,dog_leg,inclination,meas_depth,subsea_depth,tvd_depth
0,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,0.0,0.0,0.0,0.0,-66.08,0.0
1,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,163.9,0.0,0.44,240.2,174.12,240.19764
2,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,155.8,0.17,0.35,301.69,235.61,301.68618
3,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,171.13,0.96,0.62,332.63,266.55,332.62505
4,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,214.47,0.58,0.79,426.86,360.77,426.84852
5,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,13.24,3.38,2.47,522.23,456.11,522.19477
6,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,21.35,4.98,6.95,612.94,546.5,612.57621
7,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,18.53,2.74,9.51,707.55,640.12,706.20446
8,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,17.65,3.22,12.5,800.65,731.5,797.58212
9,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,15.35,5.3,17.61,897.68,825.17,891.25156
10,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,7.25,4.11,20.51,993.11,915.38,981.45615
11,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,355.09,5.31,22.89,1088.62,1004.16,1070.2366
12,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,343.99,4.75,23.49,1181.44,1089.52,1155.5981
13,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,331.65,6.35,26.58,1276.76,1175.93,1242.0118
14,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,323.55,3.85,25.61,1372.61,1262.04,1328.1182
15,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,318.78,3.94,26.03,1426.42,1310.48,1376.56143
16,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,311.64,4.13,27.94,1517.47,1391.64,1457.71632
17,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,311.08,4.09,31.82,1612.69,1474.18,1540.26331
18,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,312.39,2.1,33.69,1708.03,1554.36,1620.44109
19,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,313.18,4.33,37.78,1803.07,1631.49,1697.57183
20,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,312.36,3.66,41.17,1896.72,1703.77,1769.85063
21,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,312.95,4.17,45.2,1993.87,1774.59,1840.6733
22,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,312.44,1.18,46.26,2088.51,1840.66,1906.73542
23,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,310.11,4.17,49.88,2184.66,1904.9,1970.97951
24,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,307.55,2.52,51.22,2279.38,1965.09,2031.16997
25,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,305.11,4.83,55.35,2373.98,2021.64,2087.71879
26,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,303.78,5.56,60.52,2469.07,2072.11,2138.18519
27,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,302.07,4.37,64.38,2563.9,2115.96,2182.04095
28,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,300.61,2.32,66.17,2659.73,2156.04,2222.12382
29,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,298.89,5.83,71.31,2752.14,2189.54,2255.62325
30,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,299.01,2.1,73.36,2849.75,2219.16,2285.24216
31,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,299.65,3.11,76.29,2946.15,2244.39,2310.47474
32,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,300.33,0.75,76.07,3039.29,2266.64,2332.72419
33,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,300.76,0.46,76.22,3135.65,2289.72,2355.79985
34,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,301.68,1.25,75.46,3229.16,2312.6,2378.67618
35,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,302.48,0.98,74.93,3324.52,2336.96,2403.04446
36,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,301.67,1.08,74.26,3419.88,2362.3,2428.3768
37,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,301.1,0.74,74.7,3515.44,2387.87,2453.947
38,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,300.94,0.36,75.01,3610.83,2412.79,2478.86948
39,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,300.07,0.92,75.27,3706.37,2437.29,2503.37254
40,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,298.73,3.28,78.13,3802.21,2459.34,2525.41983
41,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,297.35,2.73,75.91,3897.18,2480.67,2546.75144
42,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,297.33,2.8,73.28,3991.16,2505.63,2571.71474
43,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,297.83,1.23,74.36,4086.95,2532.33,2598.40758
44,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,300.03,2.29,73.93,4181.16,2558.07,2624.14959
45,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,301.11,1.09,73.86,4276.46,2584.51,2650.58702
46,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,301.5,0.66,74.36,4371.09,2610.42,2676.49653
47,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,301.64,0.64,74.95,4466.21,2635.59,2701.66872
48,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,301.05,1.16,75.9,4561.65,2659.61,2725.68648
49,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,299.52,2.38,77.56,4655.18,2681.08,2747.15648
50,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,298.46,1.58,76.47,4750.03,2702.39,2768.4698
51,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,299.3,1.33,75.47,4847.36,2725.99,2792.06627
52,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,297.76,1.67,76.02,4942.74,2749.47,2815.55432
53,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,296.19,2.04,77.16,5036.0,2771.1,2837.18453
54,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,296.62,0.63,76.71,5133.29,2793.1,2859.17827
55,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,297.62,1.33,75.9,5228.15,2815.56,2881.63769
56,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,298.78,2.02,74.31,5324.35,2840.29,2906.3664
57,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,298.93,0.46,73.9,5419.39,2866.32,2932.39609
58,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,300.26,1.36,73.66,5514.9,2893.0,2959.07625
59,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,301.75,2.25,72.06,5609.91,2921.0,2987.07756
60,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,302.54,0.84,71.77,5705.26,2950.6,3016.67782
61,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,302.47,1.29,73.0,5800.7,2979.48,3045.55988
62,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,301.24,1.31,73.4,5895.98,3007.02,3073.10036
63,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,299.68,3.8,76.67,5990.72,3031.48,3097.5637
64,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,299.01,0.86,77.17,6086.17,3053.09,3119.16594
65,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,298.14,1.21,77.96,6181.97,3073.72,3139.79562
66,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,298.23,0.57,78.49,6276.77,3093.06,3159.14196
67,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,298.3,4.27,74.4,6372.48,3115.49,3181.57024
68,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,298.76,1.0,73.58,6466.04,3141.3,3207.37509
69,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,300.27,1.55,73.32,6561.09,3168.37,3234.45231
70,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,301.15,1.13,74.0,6656.87,3195.32,3261.39969
71,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,301.7,1.25,75.07,6752.2,3220.74,3286.81985
72,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,301.43,0.89,75.88,6847.82,3244.72,3310.80207
73,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,300.38,1.99,77.49,6943.51,3266.76,3332.84042
74,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,300.1,0.35,77.31,7038.26,3287.43,3353.51019
75,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,300.65,2.14,75.41,7130.55,3309.19,3375.27387
76,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,300.45,0.44,75.79,7228.48,3333.55,3399.62871
77,500292368800,MPJ-29,MILNEPT,MILNE_SCHRADER,300.17,0.61,76.29,7321.34,3355.95,3422.03127
