,api,sw_name,bu_id,project,azimuth,dog_leg,inclination,meas_depth,subsea_depth,tvd_depth
0,500292367600,MPM-45,MILNEPT,MILNE_SCHRADER,0.0,0.0,0.0,0.0,-59.0,0.0
1,500292367600,MPM-45,MILNEPT,MILNE_SCHRADER,349.86,0.0,0.37,229.02,170.02,229.01841
2,500292367600,MPM-45,MILNEPT,MILNE_SCHRADER,13.95,1.86,2.08,322.87,263.84,322.8438
3,500292367600,MPM-45,MILNEPT,MILNE_SCHRADER,18.93,2.16,4.02,413.58,354.42,413.42112
4,500292367600,MPM-45,MILNEPT,MILNE_SCHRADER,18.96,1.77,5.72,509.42,449.91,508.91163
5,500292367600,MPM-45,MILNEPT,MILNE_SCHRADER,28.78,2.54,7.82,603.39,543.22,602.22429
6,500292367600,MPM-45,MILNEPT,MILNE_SCHRADER,30.98,2.84,10.44,696.6,635.25,694.24567
7,500292367600,MPM-45,MILNEPT,MILNE_SCHRADER,35.33,2.9,13.07,792.13,728.77,787.76584
8,500292367600,MPM-45,MILNEPT,MILNE_SCHRADER,38.17,4.23,17.04,887.52,820.86,879.86462
9,500292367600,MPM-45,MILNEPT,MILNE_SCHRADER,41.18,3.61,20.35,982.97,911.27,970.26811
10,500292367600,MPM-45,MILNEPT,MILNE_SCHRADER,45.87,4.16,23.88,1077.8,999.11,1058.11457
11,500292367600,MPM-45,MILNEPT,MILNE_SCHRADER,48.9,4.73,28.2,1173.29,1084.89,1143.89478
12,500292367600,MPM-45,MILNEPT,MILNE_SCHRADER,50.41,6.21,34.06,1268.56,1166.41,1225.41142
13,500292367600,MPM-45,MILNEPT,MILNE_SCHRADER,49.6,5.43,39.23,1364.15,1243.08,1302.08259
14,500292367600,MPM-45,MILNEPT,MILNE_SCHRADER,50.28,1.42,37.95,1458.79,1317.06,1376.055
15,500292367600,MPM-45,MILNEPT,MILNE_SCHRADER,49.2,1.1,38.75,1553.96,1391.69,1450.69112
16,500292367600,MPM-45,MILNEPT,MILNE_SCHRADER,50.13,0.86,38.17,1649.47,1466.48,1525.48004
17,500292367600,MPM-45,MILNEPT,MILNE_SCHRADER,47.85,1.84,37.11,1744.77,1541.95,1600.94747
18,500292367600,MPM-45,MILNEPT,MILNE_SCHRADER,45.1,1.89,36.4,1839.57,1617.91,1676.90631
19,500292367600,MPM-45,MILNEPT,MILNE_SCHRADER,44.56,1.16,35.34,1934.63,1694.94,1753.93732
20,500292367600,MPM-45,MILNEPT,MILNE_SCHRADER,44.89,1.84,33.58,2030.58,1774.05,1833.04729
21,500292367600,MPM-45,MILNEPT,MILNE_SCHRADER,47.28,1.4,33.79,2126.18,1853.6,1912.59965
22,500292367600,MPM-45,MILNEPT,MILNE_SCHRADER,48.85,1.03,34.21,2221.08,1932.28,1991.27685
23,500292367600,MPM-45,MILNEPT,MILNE_SCHRADER,49.4,0.82,34.93,2316.63,2010.96,2069.95578
24,500292367600,MPM-45,MILNEPT,MILNE_SCHRADER,50.9,1.27,34.11,2409.46,2087.44,2146.44197
25,500292367600,MPM-45,MILNEPT,MILNE_SCHRADER,55.13,2.65,33.06,2506.16,2168.01,2227.00969
