well,pad,ipr_source,ipr_r2,latest_gauge_date,saved_cutoff,exclusion,test_age_days,watercut_difference_points,input_flags,rejected_tests,recent_test_count,pump_date,model_installed_nozzle,model_installed_throat,model_form_wc,model_form_gor,model_res_pres,model_jpump_direction,date,wt_uid,observed_bhp,observed_oil,observed_pf,ppf,pwh,wc,fgor,qtot,predicted_bhp,predicted_oil,predicted_pf,sonic,bhp_error,oil_error_bopd,oil_error_pct,pf_error_pct,error
MPB-28,B,saved,,2026-09-07,2026-08-06,,25.0,-1.395218744216753,saved coefficients/IPR predate current pump; test PF rate unavailable; BHP and oil still scored,9: before current pump or installation day,10,2026-08-07,13,C,0.83,486.0,1559.0,reverse,2026-08-14,-3606416,1106.43,344.873,,2334.969,186.587,0.8439521874421675,345.4718113624436,2210.047,1250.5761952484365,250.7678515386104,3083.614863030267,False,144.14619524843647,-94.1051484613896,-27.28689936915607,,
MPB-30,B,saved,,2026-09-07,2026-08-03,,6.0,-3.510347504773592,test PF rate unavailable; BHP and oil still scored,2: before current pump or installation day,9,2026-07-10,12,D,0.7699999809265137,3138.0,1519.0,reverse,2026-09-02,-3617972,1204.32,275.863,,2565.553,221.094,0.8051034559742496,4289.187023993794,1415.433,1112.681318161196,367.7163265703852,3018.4242653957735,True,-91.6386818388039,91.8533265703852,33.29671850533968,,
MPB-32,B,saved,,2026-09-07,2026-08-03,no usable BHP/oil/pressure test in current pump era within 90 days,,,,,0,2026-04-29,10,A,0.5,584.0,1008.0,reverse,,,,,,,,,,,,,,,,,,,
MPB-35,B,saved,,2026-09-07,2026-08-10,,3.0,0.0,saved coefficients/IPR predate current pump; reported test PF exceeds 20000 BPD; retained in raw score,12: before current pump or installation day,13,2026-08-15,12,B,0.0,249.0,1687.0,reverse,2026-09-05,-3621685,290.49,388.9658,82133.56,2548.61,204.213,0.0,389.9540782248722,388.9658,894.0755511555342,281.92442326262847,2642.4483692101176,False,603.5855511555342,-107.04137673737154,-27.519482879310097,-96.78274219550434,
MPB-37,B,saved,,2026-09-07,2026-08-03,,1.0,-19.859162998569413,model and test watercut differ by over 10 percentage points,,15,2026-04-06,10,B,0.3700000047683716,339.0,774.0,reverse,2026-09-07,-3621686,573.96,325.2873,1709.296,2612.054,201.396,0.5685916347540657,242.9796675123806,754.0125,559.5745126633467,310.5756418398371,1750.1718365667307,True,-14.385487336653341,-14.711658160162926,-4.522666012525822,2.391384322360235,
MPB-39,B,saved,,2026-09-07,2026-08-03,,20.0,-20.398687988736025,model and test watercut differ by over 10 percentage points; test PF rate unavailable; BHP and oil still scored,5: before current pump or installation day,9,2026-07-23,11,B,0.20000000298023224,409.0,859.0,reverse,2026-08-19,-3610550,386.61,340.4924,,2495.0,197.764,0.4039868828675925,317.8514410306955,571.2834,422.4509067790036,386.08687548673834,2221.1889552476177,True,35.8409067790036,45.59447548673836,13.3907468967702,,
MPC-02,C,manual,,,,no credible BHP gauge reading in last 14 days,,,,,0,2025-04-12,12,B,0.5,250.0,1700.0,forward,,,,,,,,,,,,,,,,,,,
MPC-05,C,manual,,,,no credible BHP gauge reading in last 14 days,,,,,0,2023-08-06,10,C,0.5,250.0,1700.0,forward,,,,,,,,,,,,,,,,,,,
MPC-14,C,manual,,2026-07-06,,no credible BHP gauge reading in last 14 days,,,,,6,2026-09-02,12,B,0.5,1000.0,2500.0,forward,,,,,,,,,,,,,,,,,,,
MPC-15,C,manual,,,,no credible BHP gauge reading in last 14 days,,,,,0,2026-09-05,10,C,0.5,250.0,1700.0,reverse,,,,,,,,,,,,,,,,,,,
MPC-23,C,manual,,2026-02-18,,no credible BHP gauge reading in last 14 days,,,,,0,2026-01-23,9,D,0.82,5224.0,1700.0,reverse,,,,,,,,,,,,,,,,,,,
MPC-26,C,manual,,,,no credible BHP gauge reading in last 14 days,,,,,0,2025-02-25,11,C,0.5,250.0,1700.0,reverse,,,,,,,,,,,,,,,,,,,
MPC-40,C,manual,,,,no credible BHP gauge reading in last 14 days,,,,,0,2021-07-25,9,A,0.5,250.0,1700.0,reverse,,,,,,,,,,,,,,,,,,,
MPC-45,C,saved,,,2026-08-03,no credible BHP gauge reading in last 14 days,,,,,14,2026-06-16,9,A,0.83,105.0,1700.0,reverse,,,,,,,,,,,,,,,,,,,
MPE-19,E,single_test,,,,no credible BHP gauge reading in last 14 days,,,,,14,2026-09-02,11,A,0.5192111686321755,62.0,1800.0,reverse,,,,,,,,,,,,,,,,,,,
