flow_per_pump_bpd,total_3pump_flow_bpd,head_ft,dP_psi,discharge_psi,bhp_hp,eff_pct,in_recommended_range
0,0,8470.5,3666.9,3886.9,434.0,0.0,0
250,750,8463.1,3663.7,3883.7,440.9,3.5,0
500,1500,8455.2,3660.3,3880.3,447.9,7.0,0
750,2250,8446.8,3656.6,3876.6,454.9,10.3,0
1000,3000,8437.9,3652.8,3872.8,461.9,13.5,0
1250,3750,8428.4,3648.6,3868.6,469.1,16.5,0
1500,4500,8418.3,3644.3,3864.3,476.2,19.5,0
1750,5250,8407.6,3639.6,3859.6,483.5,22.4,0
2000,6000,8396.2,3634.7,3854.7,490.7,25.2,0
2250,6750,8384.2,3629.5,3849.5,498.0,27.9,0
2500,7500,8371.4,3624.0,3844.0,505.4,30.5,0
2750,8250,8358.0,3618.2,3838.2,512.8,33.0,0
3000,9000,8343.7,3612.0,3832.0,520.2,35.4,0
3250,9750,8328.7,3605.5,3825.5,527.7,37.8,0
3500,10500,8312.8,3598.6,3818.6,535.1,40.0,0
3750,11250,8296.1,3591.4,3811.4,542.6,42.2,0
4000,12000,8278.5,3583.8,3803.8,550.2,44.3,0
4250,12750,8260.0,3575.8,3795.8,557.7,46.4,0
4500,13500,8240.6,3567.3,3787.3,565.3,48.3,0
4750,14250,8220.2,3558.5,3778.5,572.9,50.2,0
5000,15000,8198.8,3549.3,3769.3,580.5,52.0,0
5250,15750,8176.3,3539.5,3759.5,588.1,53.8,0
5500,16500,8152.9,3529.4,3749.4,595.7,55.4,0
5750,17250,8128.3,3518.8,3738.8,603.3,57.1,0
6000,18000,8102.7,3507.6,3727.6,611.0,58.6,0
6250,18750,8075.9,3496.0,3716.0,618.6,60.1,0
6500,19500,8047.9,3483.9,3703.9,626.2,61.5,0
6750,20250,8018.7,3471.3,3691.3,633.9,62.9,0
7000,21000,7988.3,3458.2,3678.2,641.5,64.2,0
7250,21750,7956.7,3444.5,3664.5,649.1,65.5,0
7500,22500,7923.8,3430.2,3650.2,656.7,66.7,0
7750,23250,7889.6,3415.4,3635.4,664.2,67.8,1
8000,24000,7854.0,3400.0,3620.0,671.8,68.9,1
8250,24750,7817.1,3384.0,3604.0,679.3,69.9,1
8500,25500,7778.7,3367.4,3587.4,686.9,70.9,1
8750,26250,7739.0,3350.2,3570.2,694.4,71.8,1
9000,27000,7697.8,3332.4,3552.4,701.8,72.7,1
9250,27750,7655.1,3313.9,3533.9,709.2,73.5,1
9500,28500,7610.9,3294.8,3514.8,716.6,74.3,1
9750,29250,7565.2,3275.0,3495.0,724.0,75.0,1
10000,30000,7517.9,3254.5,3474.5,731.3,75.7,1
10250,30750,7469.0,3233.3,3453.3,738.6,76.3,1
10500,31500,7418.5,3211.5,3431.5,745.9,76.9,1
10750,32250,7366.3,3188.9,3408.9,753.1,77.5,1
11000,33000,7312.4,3165.6,3385.6,760.2,77.9,1
11250,33750,7256.9,3141.5,3361.5,767.3,78.4,1
11500,34500,7199.6,3116.7,3336.7,774.3,78.8,1
11750,35250,7140.5,3091.1,3311.1,781.3,79.1,1
12000,36000,7079.6,3064.8,3284.8,788.2,79.4,1
12250,36750,7016.9,3037.6,3257.6,795.1,79.6,1
12500,37500,6952.4,3009.7,3229.7,801.9,79.8,1
12750,38250,6886.0,2980.9,3200.9,808.6,80.0,1
13000,39000,6817.6,2951.4,3171.4,815.3,80.1,1
13250,39750,6747.3,2920.9,3140.9,821.9,80.1,1
13500,40500,6675.1,2889.7,3109.7,828.4,80.1,1
13750,41250,6600.9,2857.5,3077.5,834.8,80.1,1
14000,42000,6524.6,2824.5,3044.5,841.2,80.0,1
14250,42750,6446.3,2790.6,3010.6,847.5,79.8,1
14500,43500,6365.9,2755.8,2975.8,853.7,79.6,1
14750,44250,6283.3,2720.1,2940.1,859.8,79.4,1
15000,45000,6198.7,2683.4,2903.4,865.8,79.1,1
15250,45750,6111.9,2645.8,2865.8,871.7,78.8,1
15500,46500,6022.8,2607.3,2827.3,877.5,78.4,1
15750,47250,5931.6,2567.8,2787.8,883.2,77.9,1
16000,48000,5838.1,2527.3,2747.3,888.9,77.4,1
16250,48750,5742.3,2485.8,2705.8,894.4,76.8,1
16500,49500,5644.2,2443.4,2663.4,899.8,76.2,1
16750,50250,5543.7,2399.9,2619.9,905.1,75.6,1
17000,51000,5440.9,2355.4,2575.4,910.3,74.8,1
17250,51750,5335.7,2309.8,2529.8,915.4,74.1,1
17500,52500,5228.1,2263.2,2483.2,920.3,73.2,1
17750,53250,5118.0,2215.6,2435.6,925.2,72.3,1
18000,54000,5005.4,2166.9,2386.9,929.9,71.4,1
18250,54750,4890.3,2117.0,2337.0,934.5,70.3,1
18500,55500,4772.7,2066.1,2286.1,939.0,69.3,0
18750,56250,4652.5,2014.1,2234.1,943.3,68.1,0
19000,57000,4529.7,1960.9,2180.9,947.5,66.9,0
19250,57750,4404.3,1906.6,2126.6,951.6,65.6,0
19500,58500,4276.2,1851.2,2071.2,955.6,64.3,0
19750,59250,4145.5,1794.6,2014.6,959.4,62.9,0
20000,60000,4012.0,1736.8,1956.8,963.0,61.4,0
20250,60750,3875.8,1677.8,1897.8,966.5,59.8,0
20500,61500,3736.8,1617.7,1837.7,969.9,58.2,0
20750,62250,3595.0,1556.3,1776.3,973.1,56.5,0
21000,63000,3450.4,1493.7,1713.7,976.2,54.7,0
