,api,sw_name,bu_id,project,azimuth,dog_leg,inclination,meas_depth,subsea_depth,tvd_depth
0,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,0.0,0.0,0.0,0.0,-54.31,0.0
1,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,0.0,0.0,0.0,33.61,-20.7,33.61
2,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,67.03,0.09,0.09,133.49,79.18,133.48996
3,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,171.53,0.31,0.26,228.29,173.98,228.28962
4,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,246.59,2.85,2.73,322.1,267.75,322.06294
5,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,247.3,0.89,3.55,414.59,360.1,414.4133
6,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,238.84,2.35,5.65,508.11,453.32,507.62787
7,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,245.71,2.98,8.28,600.61,545.13,599.43877
8,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,244.13,1.91,10.02,692.8,636.14,690.45235
9,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,246.42,0.62,9.58,787.86,729.82,784.12537
10,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,243.07,2.41,11.77,882.4,822.71,877.02449
11,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,238.66,2.69,14.13,977.44,915.33,969.643
12,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,240.43,3.56,17.46,1071.87,1006.19,1060.49527
13,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,241.83,4.96,22.14,1166.76,1095.44,1149.75119
14,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,241.66,2.49,24.52,1262.45,1183.3,1237.61127
15,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,242.19,2.9,27.26,1357.14,1268.48,1322.78971
16,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,240.25,1.54,28.41,1452.35,1352.67,1406.98398
17,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,241.31,0.6,28.67,1547.46,1436.23,1490.53716
18,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,241.31,4.91,33.35,1642.69,1517.82,1572.13409
19,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,241.48,4.45,37.58,1737.74,1595.22,1649.5321
20,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,243.21,2.01,36.36,1817.67,1659.08,1713.39292
21,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,244.01,2.96,39.19,1914.79,1735.84,1790.15162
22,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,245.71,5.22,44.02,2009.8,1806.87,1861.17591
23,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,246.8,1.82,45.57,2104.98,1874.41,1928.71793
24,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,246.94,5.74,51.0,2199.57,1937.33,1991.63734
25,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,246.85,1.65,52.58,2295.57,1996.71,2051.0162
26,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,245.54,3.02,55.22,2389.6,2052.11,2106.41539
27,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,244.35,6.8,61.57,2484.12,2101.62,2155.92594
28,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,243.98,2.3,63.76,2580.39,2145.82,2200.13031
29,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,242.82,4.27,67.64,2674.56,2184.57,2238.87683
30,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,242.74,1.68,69.22,2768.55,2219.12,2273.43056
31,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,243.09,1.01,70.14,2865.59,2252.82,2307.12928
32,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,242.89,0.34,69.88,2959.47,2284.91,2339.22331
33,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,242.96,0.21,69.69,3055.3,2318.03,2372.33734
34,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,243.34,0.37,69.7,3150.47,2351.05,2405.36368
35,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,243.48,0.44,69.3,3245.37,2384.29,2438.59888
36,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,242.88,0.91,69.95,3340.2,2417.31,2471.61584
37,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,243.2,0.55,69.62,3421.7,2445.47,2499.77819
38,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,243.39,0.76,69.04,3502.06,2473.83,2528.14445
39,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,243.63,1.19,67.91,3598.55,2509.24,2563.54736
40,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,243.56,0.49,68.37,3693.79,2544.7,2599.00948
41,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,244.23,0.74,68.02,3789.77,2580.35,2634.662
42,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,244.24,0.31,68.31,3882.65,2614.9,2669.20782
43,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,243.9,0.43,68.57,3977.25,2649.66,2703.97161
44,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,244.11,0.21,68.58,4071.97,2684.26,2738.57181
45,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,244.19,0.56,69.1,4166.28,2718.31,2772.61568
46,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,243.03,1.16,69.29,4261.57,2752.15,2806.46316
47,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,242.63,0.41,69.16,4357.63,2786.23,2840.53623
48,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,243.37,0.74,69.24,4452.02,2819.75,2874.05575
49,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,244.44,1.05,69.11,4548.13,2853.92,2908.22571
50,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,245.43,1.01,69.38,4643.49,2887.71,2942.01997
51,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,245.63,0.2,69.38,4738.78,2921.27,2975.57869
52,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,245.21,0.55,69.03,4833.7,2954.97,3009.27835
53,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,244.75,0.57,68.7,4929.13,2989.38,3043.6879
54,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,243.92,0.85,68.9,5023.39,3023.47,3077.7757
55,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,243.71,0.47,68.5,5118.97,3058.19,3112.49578
56,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,242.82,0.94,68.17,5213.8,3093.2,3147.50615
57,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,243.19,0.66,68.7,5308.88,3128.14,3182.45396
58,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,244.4,1.2,68.5,5403.82,3162.79,3217.09703
59,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,245.63,1.64,69.56,5499.12,3196.89,3251.20413
60,500292381700,MPE-48,MILNEPT,MILNE_SCHRADER,244.74,0.88,69.43,5594.55,3230.32,3284.63337
