api,sw_name,bu_id,project,survey_num,azimuth,dog_leg,inclination,meas_depth,subsea_depth,tvd_depth
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,0.0,0.0,0.0,0.0,-37.65,0.0
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,0.0,0.0,0.0,26.85,-10.8,26.85
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,120.39,1.04,0.24,50.0,12.35,49.9999
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,155.19,0.37,0.32,100.0,62.35,99.99929
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,140.69,0.29,0.49,169.0,131.35,168.99749
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,161.84,0.3,0.53,233.45,195.79,233.44493
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,303.83,2.05,0.83,296.36,258.7,296.35294
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,309.7,2.41,2.29,357.19,319.51,357.15878
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,308.28,3.08,4.19,419.01,381.23,418.87715
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,304.01,2.26,5.61,483.75,445.73,483.3791
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,303.81,2.95,7.45,546.09,507.66,545.31201
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,305.92,4.28,10.05,607.28,568.13,605.78482
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,305.79,5.83,13.44,665.41,625.04,662.68946
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,304.82,5.79,17.07,728.31,685.71,723.36309
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,305.05,4.24,19.75,791.54,745.7,783.35158
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,305.26,5.58,23.24,854.14,803.94,841.58872
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,305.14,5.17,26.49,917.07,861.03,898.67753
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,304.85,3.04,28.4,980.05,916.92,954.5668
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,305.18,2.83,30.18,1043.3,972.08,1009.7284
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,305.91,5.75,33.78,1106.23,1025.45,1063.09912
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,305.03,4.96,36.84,1168.75,1076.46,1114.11201
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,306.11,4.24,39.42,1231.67,1125.95,1163.602
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,306.66,4.96,42.51,1294.35,1173.28,1210.92673
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,307.35,6.38,46.47,1356.86,1217.86,1255.51105
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,306.35,5.97,50.18,1420.23,1259.99,1297.63929
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,305.98,5.12,53.39,1483.16,1298.91,1336.56367
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,305.89,0.38,53.16,1545.96,1336.47,1374.11642
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,305.26,2.59,51.61,1608.76,1374.8,1412.44563
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,304.35,1.79,50.73,1671.83,1414.34,1451.99138
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,305.72,4.87,53.59,1734.66,1452.88,1490.53212
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,305.7,0.48,53.29,1797.44,1490.28,1527.92788
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,306.59,1.91,52.34,1859.57,1527.83,1565.47872
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,307.45,3.25,54.29,1923.13,1565.8,1603.44905
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,306.65,1.53,53.59,1985.37,1602.44,1640.08568
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,306.5,1.85,52.41,2049.41,1640.98,1678.62525
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,306.79,2.21,53.79,2112.73,1678.99,1716.64299
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,306.14,3.43,51.76,2173.84,1715.96,1753.60959
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,305.46,2.52,53.29,2238.23,1755.13,1792.78457
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,305.18,0.76,52.87,2300.45,1792.51,1830.16005
500292359200,MPF-107,MILNEPT,MILNE_SCHRADER,SRVY_1,304.2,2.66,54.35,2363.52,1829.93,1867.57767
