api,sw_name,bu_id,project,azimuth,dog_leg,inclination,meas_depth,subsea_depth,tvd_depth
500292322400,MPH-18,MILNEPT,MILNE_SCHRADER,0.0,0.0,0.0,0.0,-69.6,0.0
500292322400,MPH-18,MILNEPT,MILNE_SCHRADER,0.0,0.0,0.0,114.0,44.4,114.0
500292322400,MPH-18,MILNEPT,MILNE_SCHRADER,125.0,1.18,0.65,169.0,99.4,168.99882
500292322400,MPH-18,MILNEPT,MILNE_SCHRADER,140.0,0.19,0.6,260.0,190.39,259.9934
500292322400,MPH-18,MILNEPT,MILNE_SCHRADER,107.0,0.49,0.8,350.0,280.39,349.98699
500292322400,MPH-18,MILNEPT,MILNE_SCHRADER,91.0,0.63,1.3,442.0,372.37,441.97144
500292322400,MPH-18,MILNEPT,MILNE_SCHRADER,60.0,0.84,1.5,534.0,464.35,533.94523
500292322400,MPH-18,MILNEPT,MILNE_SCHRADER,46.41,1.46,1.6,560.04,490.38,559.97579
500292322400,MPH-18,MILNEPT,MILNE_SCHRADER,7.46,2.72,3.48,650.25,580.5,650.09878
500292322400,MPH-18,MILNEPT,MILNE_SCHRADER,0.29,2.27,5.63,747.95,677.89,747.48524
500292322400,MPH-18,MILNEPT,MILNE_SCHRADER,348.64,2.57,7.77,845.99,775.25,844.85446
500292322400,MPH-18,MILNEPT,MILNE_SCHRADER,336.58,4.6,11.73,942.31,870.17,939.77394
500292322400,MPH-18,MILNEPT,MILNE_SCHRADER,327.74,5.28,16.35,1038.61,963.58,1033.18243
500292322400,MPH-18,MILNEPT,MILNE_SCHRADER,324.84,2.1,18.14,1133.05,1053.77,1123.37498
500292322400,MPH-18,MILNEPT,MILNE_SCHRADER,319.05,2.0,17.37,1229.41,1145.55,1215.15184
500292322400,MPH-18,MILNEPT,MILNE_SCHRADER,321.69,3.82,20.94,1325.57,1236.37,1305.9749
500292322400,MPH-18,MILNEPT,MILNE_SCHRADER,322.06,1.36,22.23,1420.76,1324.89,1394.48767
500292322400,MPH-18,MILNEPT,MILNE_SCHRADER,320.25,1.05,21.47,1517.16,1414.36,1483.9628
500292322400,MPH-18,MILNEPT,MILNE_SCHRADER,318.54,2.25,23.51,1612.18,1502.15,1571.75249
