api,sw_name,bu_id,project,survey_num,azimuth,dog_leg,inclination,meas_depth,subsea_depth,tvd_depth
500292337100,MPH-19,MILNEPT,MILNE_SCHRADER,SRVY_1,0.0,0.0,0.0,0.0,-70.0,0.0
500292337100,MPH-19,MILNEPT,MILNE_SCHRADER,SRVY_1,66.42,0.68,0.45,100.0,30.0,99.99932
500292337100,MPH-19,MILNEPT,MILNE_SCHRADER,SRVY_1,14.48,1.28,1.03,165.0,94.99,164.99421
500292337100,MPH-19,MILNEPT,MILNE_SCHRADER,SRVY_1,0.54,2.88,2.94,233.0,162.95,232.95057
500292337100,MPH-19,MILNEPT,MILNE_SCHRADER,SRVY_1,1.07,0.72,3.14,261.0,190.91,260.91112
500292337100,MPH-19,MILNEPT,MILNE_SCHRADER,SRVY_1,357.58,0.46,3.52,354.0,283.75,353.75402
500292337100,MPH-19,MILNEPT,MILNE_SCHRADER,SRVY_1,352.93,0.57,3.93,444.0,373.56,443.5639
500292337100,MPH-19,MILNEPT,MILNE_SCHRADER,SRVY_1,6.35,1.01,3.97,535.0,464.35,534.34969
500292337100,MPH-19,MILNEPT,MILNE_SCHRADER,SRVY_1,25.05,1.41,3.8,625.0,554.15,624.14647
500292337100,MPH-19,MILNEPT,MILNE_SCHRADER,SRVY_1,27.7,1.15,2.72,720.0,648.99,718.99139
500292337100,MPH-19,MILNEPT,MILNE_SCHRADER,SRVY_1,40.28,0.75,3.01,812.47,741.35,811.34663
500292337100,MPH-19,MILNEPT,MILNE_SCHRADER,SRVY_1,37.55,0.38,3.11,859.08,787.89,857.89015
500292337100,MPH-19,MILNEPT,MILNE_SCHRADER,SRVY_1,35.87,0.27,3.34,951.35,880.01,950.01384
500292337100,MPH-19,MILNEPT,MILNE_SCHRADER,SRVY_1,41.45,0.6,3.79,1045.79,974.27,1044.27113
500292337100,MPH-19,MILNEPT,MILNE_SCHRADER,SRVY_1,41.68,0.63,4.39,1140.75,1068.99,1138.98886
500292337100,MPH-19,MILNEPT,MILNE_SCHRADER,SRVY_1,36.23,3.07,7.24,1235.35,1163.09,1233.09305
500292337100,MPH-19,MILNEPT,MILNE_SCHRADER,SRVY_1,35.57,3.66,10.72,1330.36,1256.92,1326.9241
