,api,sw_name,bu_id,project,azimuth,dog_leg,inclination,meas_depth,subsea_depth,tvd_depth
0,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,0.0,0.0,0.0,0.0,-82.4,0.0
1,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,0.0,0.0,0.0,46.8,-35.6,46.8
2,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,258.99,0.11,0.09,131.19,48.79,131.18997
3,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,313.21,0.34,0.28,201.09,118.69,201.08961
4,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,204.89,1.68,1.44,293.27,210.86,293.26013
5,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,193.73,1.29,2.67,393.15,310.67,393.07434
6,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,187.25,2.23,4.71,486.57,403.9,486.29613
7,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,188.52,3.69,8.1,578.52,495.26,577.65892
8,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,184.95,4.72,12.51,672.79,587.99,670.38633
9,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,186.18,2.8,15.13,766.88,679.34,761.74478
10,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,181.87,1.88,16.46,861.4,770.3,852.69704
11,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,181.96,3.73,19.92,954.2,858.45,940.84616
12,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,182.3,4.32,23.97,1048.07,945.5,1027.8966
13,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,180.77,2.35,26.07,1141.57,1030.22,1112.61883
14,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,181.15,0.35,26.36,1236.43,1115.32,1197.72186
15,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,176.88,2.01,26.34,1330.8,1199.89,1282.29458
16,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,174.76,1.48,25.28,1425.66,1285.29,1367.69233
17,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,175.68,0.41,25.29,1520.71,1371.24,1453.63644
18,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,175.99,0.14,25.3,1614.7,1456.21,1538.6148
19,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,174.87,2.17,23.32,1708.39,1541.59,1623.99374
20,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,175.0,0.14,23.44,1803.49,1628.89,1711.28546
21,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,174.83,0.18,23.29,1896.67,1714.42,1796.82449
22,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,174.65,1.66,24.85,1990.95,1800.5,1882.90408
23,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,173.68,2.09,26.77,2085.03,1885.2,1967.59544
24,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,176.03,1.31,27.42,2180.68,1970.35,2052.75022
25,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,177.99,0.98,27.61,2275.31,2054.28,2136.67844
26,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,177.5,2.69,25.08,2369.6,2138.77,2221.16864
27,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,175.54,0.88,25.0,2464.49,2224.74,2307.14176
28,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,174.38,0.74,24.49,2559.41,2310.95,2393.3465
29,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,175.22,0.39,24.6,2652.92,2396.01,2478.40683
30,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,174.62,1.14,23.56,2747.03,2481.93,2564.3261
31,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,176.21,1.05,24.31,2841.64,2568.4,2650.80062
32,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,177.22,0.65,24.75,2935.14,2653.46,2735.86194
33,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,175.58,0.78,25.01,3029.36,2738.94,2821.33852
34,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,180.03,2.0,25.02,3123.4,2824.17,2906.56505
35,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,186.66,3.02,24.37,3217.46,2909.64,2992.03902
36,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,196.22,4.19,24.19,3311.23,2995.15,3077.5483
37,500292382500,MPH-23,MILNEPT,MILNE_SCHRADER,205.4,4.14,24.94,3405.04,3080.5,3162.89855
