api,sw_name,bu_id,project,survey_num,azimuth,dog_leg,inclination,meas_depth,subsea_depth,tvd_depth
500292321200,MPI-17,MILNEPT,MILNE_SCHRADER,SURVEY2,0.0,0.0,0.0,0.0,-68.35,0.0
500292321200,MPI-17,MILNEPT,MILNE_SCHRADER,SURVEY2,82.3,0.0,0.27,99.05,30.7,99.04963
500292321200,MPI-17,MILNEPT,MILNE_SCHRADER,SURVEY2,82.3,0.4,0.29,104.05,35.7,104.04957
500292321200,MPI-17,MILNEPT,MILNE_SCHRADER,SURVEY2,126.72,4.58,0.1,109.05,40.7,109.04954
500292321200,MPI-17,MILNEPT,MILNE_SCHRADER,SURVEY2,93.18,2.95,0.22,114.05,45.7,114.04953
500292321200,MPI-17,MILNEPT,MILNE_SCHRADER,SURVEY2,100.48,1.48,0.15,119.05,50.7,119.0495
500292321200,MPI-17,MILNEPT,MILNE_SCHRADER,SURVEY2,164.69,2.7,0.07,124.05,55.7,124.04949
500292321200,MPI-17,MILNEPT,MILNE_SCHRADER,SURVEY2,69.9,2.21,0.08,129.05,60.7,129.04949
500292321200,MPI-17,MILNEPT,MILNE_SCHRADER,SURVEY2,49.13,2.96,0.22,134.05,65.7,134.04947
500292321200,MPI-17,MILNEPT,MILNE_SCHRADER,SURVEY2,42.87,3.66,0.4,139.05,70.7,139.04939
500292321200,MPI-17,MILNEPT,MILNE_SCHRADER,SURVEY2,40.72,3.62,0.58,144.05,75.7,144.04921
500292321200,MPI-17,MILNEPT,MILNE_SCHRADER,SURVEY2,43.94,1.56,0.65,149.05,80.7,149.04892
500292321200,MPI-17,MILNEPT,MILNE_SCHRADER,SURVEY2,46.48,1.72,0.73,154.05,85.7,154.04856
500292321200,MPI-17,MILNEPT,MILNE_SCHRADER,SURVEY2,47.33,1.02,0.78,159.05,90.7,159.04812
500292321200,MPI-17,MILNEPT,MILNE_SCHRADER,SURVEY2,47.33,0.61,0.81,164.05,95.7,164.04764
500292321200,MPI-17,MILNEPT,MILNE_SCHRADER,SURVEY2,48.99,0.47,0.81,169.05,100.7,169.04714
