api,sw_name,bu_id,project,survey_num,azimuth,dog_leg,inclination,meas_depth,subsea_depth,tvd_depth
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,0.0,0.0,0.0,0.0,-56.0,0.0
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,181.1,0.0,0.35,100.0,44.0,99.99938
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,176.58,0.07,0.28,200.0,144.0,199.99785
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,193.93,0.09,0.3,300.0,244.0,299.99657
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,193.42,0.07,0.23,400.0,344.0,399.99548
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,209.32,0.09,0.15,500.0,443.99,499.9949
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,122.25,0.19,0.13,600.0,543.99,599.9946
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,42.7,2.75,2.77,700.0,643.96,699.95524
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,43.27,2.05,4.82,800.0,743.73,799.73064
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,42.45,2.56,7.38,900.0,843.16,899.15618
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,45.67,1.8,9.12,1000.0,942.12,998.11805
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,47.62,2.85,11.95,1100.0,1040.42,1096.42271
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,48.25,1.91,13.85,1200.0,1137.89,1193.89441
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,49.55,2.03,15.85,1300.0,1234.55,1290.54978
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,51.07,4.7,20.53,1400.0,1329.53,1385.52657
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,52.22,0.48,20.78,1500.0,1423.1,1479.09902
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,52.2,0.89,21.67,1600.0,1516.31,1572.31467
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,50.22,3.74,25.33,1700.0,1608.01,1664.00653
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,50.67,1.31,26.62,1800.0,1697.9,1753.90325
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,50.83,1.35,27.97,1900.0,1786.77,1842.76693
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,50.33,2.41,30.37,2000.0,1874.08,1930.07842
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,50.48,4.73,35.1,2100.0,1958.17,2014.17261
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,51.7,2.2,37.18,2200.0,2038.93,2094.92707
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,51.9,2.62,39.8,2300.0,2117.19,2173.19196
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,52.15,2.31,42.1,2400.0,2192.72,2248.71512
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,51.1,2.89,44.9,2500.0,2265.25,2321.2463
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,50.63,2.25,47.12,2600.0,2334.7,2390.69544
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,50.77,2.05,49.17,2700.0,2401.42,2457.41668
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,51.18,2.12,51.27,2800.0,2465.4,2521.3974
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,51.35,2.4,53.67,2900.0,2526.31,2582.31065
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,52.15,0.73,53.32,3000.0,2585.8,2641.80048
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,52.85,0.97,52.53,3100.0,2646.09,2702.08647
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,53.73,0.73,52.3,3200.0,2707.08,2763.08095
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,54.52,1.1,53.2,3300.0,2767.61,2823.61034
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,55.35,0.67,53.27,3400.0,2827.46,2883.46444
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,56.07,0.78,53.8,3500.0,2886.9,2942.8979
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,56.47,0.46,53.47,3600.0,2946.19,3002.19068
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,54.92,1.25,53.6,3700.0,3005.63,3061.62618
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,55.38,0.4,53.45,3800.0,3065.07,3121.07356
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,55.77,1.03,54.43,3900.0,3123.94,3179.93621
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,53.45,1.89,54.5,4000.0,3182.06,3238.06148
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,52.57,1.06,55.28,4100.0,3239.58,3295.57659
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,53.2,0.52,55.27,4200.0,3296.54,3352.5408
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,54.03,0.71,55.45,4300.0,3353.38,3409.38328
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,54.53,0.75,56.08,4400.0,3409.64,3465.64209
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,54.8,1.22,57.28,4500.0,3464.57,3520.57261
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,55.55,0.66,57.48,4600.0,3518.48,3574.47961
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,56.63,4.34,53.23,4700.0,3575.32,3631.31672
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,56.97,0.73,52.55,4800.0,3635.65,3691.6512
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,57.45,0.39,52.47,4900.0,3696.51,3752.51371
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,58.13,0.56,52.32,5000.0,3757.54,3813.53558
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,59.02,0.99,51.62,5100.0,3819.14,3875.14336
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,58.67,1.13,52.72,5200.0,3880.47,3936.47461
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,59.55,1.23,51.7,5300.0,3941.75,3997.75146
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,54.63,5.03,54.82,5400.0,4001.59,4057.58615
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,53.8,1.11,55.7,5500.0,4058.57,4114.5716
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,54.35,1.59,54.18,5600.0,4116.01,4172.0136
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,54.27,0.89,55.07,5700.0,4173.91,4229.90557
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,54.45,0.27,55.3,5800.0,4231.0,4286.99842
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,55.45,1.05,54.65,5900.0,4288.39,4344.39247
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,56.18,1.08,53.75,6000.0,4346.89,4402.88815
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,56.82,1.01,52.88,6100.0,4406.63,4462.6295
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,56.88,0.54,53.42,6200.0,4466.6,4522.6015
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,56.67,0.8,54.2,6300.0,4525.65,4581.64756
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,56.55,0.49,54.68,6400.0,4583.8,4639.80293
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,56.6,0.42,55.1,6500.0,4641.32,4697.3176
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,56.45,0.22,55.28,6600.0,4698.4,4754.40322
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,56.3,0.49,55.75,6700.0,4755.02,4811.02213
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,55.95,0.33,55.6,6800.0,4811.41,4867.41088
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,55.77,1.48,54.13,6900.0,4868.96,4924.95982
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,55.65,0.46,54.58,7000.0,4927.24,4983.23583
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,55.63,0.59,55.17,7100.0,4984.77,5040.77179
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,55.52,0.61,55.77,7200.0,5041.46,5097.45531
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,55.47,0.51,56.28,7300.0,5097.34,5153.33824
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,55.18,1.62,54.68,7400.0,5154.01,5210.00587
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,55.1,0.55,55.23,7500.0,5211.43,5267.42762
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,55.12,0.64,55.87,7600.0,5268.0,5323.99601
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,55.05,0.4,56.27,7700.0,5323.81,5379.81386
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,54.97,0.16,56.42,7800.0,5379.23,5435.2329
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,54.9,0.14,56.55,7900.0,5434.45,5490.44839
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,54.83,0.55,56.0,8000.0,5489.97,5545.96892
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,54.68,0.37,56.35,8100.0,5545.63,5601.63467
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,54.52,0.36,56.68,8200.0,5600.81,5656.80649
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,53.42,1.08,56.1,8300.0,5656.16,5712.16112
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,53.15,0.39,56.42,8400.0,5711.7,5767.70363
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,53.15,1.65,54.77,8500.0,5768.21,5824.20558
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,53.07,0.34,55.1,8600.0,5825.66,5881.65604
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,53.2,0.64,55.73,8700.0,5882.42,5938.41859
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,53.27,0.39,56.12,8800.0,5938.45,5994.44625
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,53.2,0.48,56.6,8900.0,5993.84,6049.84339
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,53.48,1.27,55.35,9000.0,6049.8,6105.79781
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,53.47,0.65,56.0,9100.0,6106.19,6162.18615
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,53.38,0.58,56.58,9200.0,6161.68,6217.68489
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,53.25,0.31,56.87,9300.0,6216.55,6272.55065
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,53.38,1.05,55.83,9400.0,6271.96,6327.96173
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,53.3,1.21,54.62,9500.0,6329.0,6384.9962
500292200300,MPL-06,MILNEPT,MILNE_KUP,SRVY_5,53.38,0.2,54.43,9600.0,6387.03,6443.03089
