api,sw_name,bu_id,project,azimuth,dog_leg,inclination,meas_depth,subsea_depth,tvd_depth
500292279000,MPL-20,MILNEPT,MILNE_KUP,0.0,0.0,0.0,0.0,-49.85,0.0
500292279000,MPL-20,MILNEPT,MILNE_KUP,0.0,,0.0,0.0,-49.85,0.0
500292279000,MPL-20,MILNEPT,MILNE_KUP,41.8,0.0,0.35,100.0,50.15,99.99938
500292279000,MPL-20,MILNEPT,MILNE_KUP,41.8,,0.35,100.0,50.15,99.99938
500292279000,MPL-20,MILNEPT,MILNE_KUP,27.06,0.0,0.34,100.0,50.15,99.99941
500292279000,MPL-20,MILNEPT,MILNE_KUP,33.48,0.17,0.32,125.0,75.15,124.999
500292279000,MPL-20,MILNEPT,MILNE_KUP,39.9,0.16,0.3,150.0,100.15,149.99863
500292279000,MPL-20,MILNEPT,MILNE_KUP,36.05,0.11,0.32,175.0,125.15,174.99827
500292279000,MPL-20,MILNEPT,MILNE_KUP,32.06,0.1,0.33,200.0,150.15,199.99787
500292279000,MPL-20,MILNEPT,MILNE_KUP,37.5,,0.3,200.0,150.15,199.99777
500292279000,MPL-20,MILNEPT,MILNE_KUP,37.5,0.06,0.3,200.0,150.15,199.99777
500292279000,MPL-20,MILNEPT,MILNE_KUP,22.89,0.28,0.28,225.0,175.15,224.99751
500292279000,MPL-20,MILNEPT,MILNE_KUP,13.57,0.26,0.23,250.0,200.15,249.99727
500292279000,MPL-20,MILNEPT,MILNE_KUP,335.87,0.74,0.3,275.0,225.15,274.99701
500292279000,MPL-20,MILNEPT,MILNE_KUP,296.99,0.95,0.38,300.0,250.15,299.9966
500292279000,MPL-20,MILNEPT,MILNE_KUP,279.8,0.45,0.22,300.0,250.15,299.99722
500292279000,MPL-20,MILNEPT,MILNE_KUP,279.8,,0.22,300.0,250.15,299.99722
500292279000,MPL-20,MILNEPT,MILNE_KUP,278.73,1.07,0.6,325.0,275.15,324.99569
500292279000,MPL-20,MILNEPT,MILNE_KUP,261.62,1.25,0.83,350.0,300.14,349.99375
500292279000,MPL-20,MILNEPT,MILNE_KUP,256.6,0.79,1.01,375.0,325.14,374.99053
500292279000,MPL-20,MILNEPT,MILNE_KUP,252.43,0.79,1.19,400.0,350.14,399.98591
500292279000,MPL-20,MILNEPT,MILNE_KUP,253.9,0.93,1.12,400.0,350.14,399.98948
500292279000,MPL-20,MILNEPT,MILNE_KUP,253.9,,1.12,400.0,350.14,399.98948
500292279000,MPL-20,MILNEPT,MILNE_KUP,252.06,1.08,1.46,425.0,375.13,424.9792
500292279000,MPL-20,MILNEPT,MILNE_KUP,252.02,1.16,1.75,450.0,400.12,449.96937
500292279000,MPL-20,MILNEPT,MILNE_KUP,252.99,1.01,2.0,475.0,425.11,474.95597
500292279000,MPL-20,MILNEPT,MILNE_KUP,254.06,1.01,2.25,500.0,450.09,499.93875
500292279000,MPL-20,MILNEPT,MILNE_KUP,254.5,,2.2,500.0,450.09,499.94604
500292279000,MPL-20,MILNEPT,MILNE_KUP,254.5,1.08,2.2,500.0,450.09,499.94604
