,api,sw_name,bu_id,project,azimuth,dog_leg,inclination,meas_depth,subsea_depth,tvd_depth
0,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,0.0,0.0,0.0,0.0,-51.5,0.0
1,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,306.21,0.0,0.7,198.24,146.74,198.23507
2,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,312.02,1.32,1.06,226.35,174.84,226.34171
3,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,319.6,2.46,3.35,320.02,268.44,319.93627
4,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,318.54,2.84,5.81,406.75,354.88,406.38271
5,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,313.25,2.54,8.19,503.81,451.21,502.7133
6,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,306.03,3.81,11.54,597.31,543.32,594.82119
7,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,300.21,4.08,15.07,689.69,633.21,684.71143
8,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,295.81,4.18,18.85,785.09,724.45,775.94962
9,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,295.35,2.46,21.37,887.93,821.01,872.51225
10,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,293.62,2.38,23.54,983.36,909.2,960.70251
11,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,289.65,2.17,24.82,1078.83,996.3,1047.80039
12,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,286.54,5.02,29.42,1174.77,1081.67,1133.17365
13,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,282.26,5.7,34.36,1269.99,1162.51,1214.00707
14,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,281.3,3.07,37.26,1366.11,1240.45,1291.94919
15,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,279.57,4.14,41.02,1460.72,1313.82,1365.31854
16,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,277.35,5.08,45.63,1556.3,1383.34,1434.83605
17,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,275.98,4.83,50.11,1651.33,1447.07,1498.56934
18,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,276.08,5.57,55.43,1746.78,1504.8,1556.29776
19,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,275.94,3.88,59.15,1842.58,1556.56,1608.05821
20,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,274.36,1.51,58.71,1936.97,1605.27,1656.77405
21,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,273.99,1.51,60.12,2032.92,1654.09,1705.5943
22,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,274.32,0.33,60.24,2126.78,1700.77,1752.26925
23,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,274.63,1.65,61.78,2221.5,1746.68,1798.17513
24,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,277.04,2.26,61.38,2316.9,1792.08,1843.58453
25,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,277.21,0.92,60.51,2412.56,1838.54,1890.04176
26,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,277.15,1.02,61.49,2508.43,1885.02,1936.52037
27,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,277.95,0.98,60.86,2604.08,1931.14,1982.63749
28,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,277.01,1.57,62.1,2698.88,1976.4,2027.9016
29,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,277.93,1.21,61.28,2793.76,2021.4,2072.89851
30,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,277.13,0.75,61.42,2888.87,2067.0,2118.50078
31,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,278.18,1.23,60.7,2983.53,2112.81,2164.30728
32,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,276.21,1.79,60.64,3079.36,2159.75,2211.25253
33,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,276.69,0.68,60.14,3174.96,2206.99,2258.48841
34,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,274.66,2.05,60.93,3269.53,2253.51,2305.0104
35,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,274.58,0.08,60.91,3365.14,2299.98,2351.48023
36,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,275.04,0.52,60.62,3460.25,2346.43,2397.93188
37,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,275.55,1.86,58.91,3555.02,2394.15,2445.65202
38,500292365600,MPM-26,MILNEPT,MILNE_SCHRADER,275.89,0.52,58.51,3650.46,2443.72,2495.22114
