api,sw_name,bu_id,project,survey_num,azimuth,dog_leg,inclination,meas_depth,subsea_depth,tvd_depth
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,0.0,0.0,0.0,0.0,-58.14,0.0
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,153.26,0.0,0.18,152.3,94.16,152.29975
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,155.55,0.59,0.7,240.06,181.92,240.05686
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,141.81,2.44,2.94,333.05,274.85,332.99431
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,138.46,4.39,7.05,426.93,368.36,426.4979
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,129.82,3.18,9.76,520.57,460.99,519.12719
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,133.35,3.51,12.89,611.8,550.43,608.57083
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,133.0,3.44,16.06,704.0,639.69,697.83277
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,124.01,3.43,18.0,799.27,730.8,788.93697
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,123.48,4.91,22.68,894.56,820.12,878.26061
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,118.55,3.94,25.86,990.17,907.28,965.41841
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,114.49,3.05,28.06,1084.19,991.08,1049.22278
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,110.62,3.84,31.25,1181.03,1075.24,1133.37579
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,108.15,5.71,36.53,1276.5,1154.46,1212.60228
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,105.51,4.67,40.68,1372.02,1229.1,1287.23694
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,104.45,0.93,41.21,1466.34,1300.34,1358.48137
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,105.86,3.22,44.13,1561.75,1370.49,1428.62773
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,103.75,4.32,47.92,1656.36,1436.17,1494.31181
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,100.51,5.12,51.22,1736.76,1488.31,1546.45382
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,99.67,5.57,56.5,1832.31,1544.65,1602.78652
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,99.9,2.32,58.7,1927.63,1595.72,1653.85887
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,100.16,3.56,55.27,2024.06,1648.25,1706.39223
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,100.92,4.17,59.18,2119.05,1699.67,1757.80523
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,100.49,2.79,61.79,2213.72,1746.3,1804.44113
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,100.45,1.36,60.49,2309.27,1792.42,1850.55984
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,100.91,0.62,60.06,2403.63,1839.21,1897.34761
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,100.39,0.83,59.41,2498.54,1887.04,1945.1827
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,100.84,1.36,58.18,2593.51,1936.25,1994.3865
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,101.23,1.92,60.0,2689.87,1985.74,2043.88428
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,102.05,1.15,59.17,2784.57,2033.69,2091.82769
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,102.22,1.32,60.42,2880.26,2081.83,2139.96842
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,102.35,1.21,59.27,2975.53,2129.69,2187.82611
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,102.71,0.67,59.83,3070.63,2177.88,2236.02186
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,102.76,1.4,61.16,3165.35,2224.53,2282.67083
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,103.01,1.99,59.27,3261.15,2272.12,2330.25754
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,102.63,1.71,60.84,3354.94,2318.93,2377.07366
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,102.68,1.97,58.98,3449.54,2366.36,2424.50067
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,102.11,0.62,58.64,3545.96,2416.3,2474.43511
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,102.5,1.1,57.65,3641.15,2466.53,2524.67362
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,101.63,1.24,58.55,3734.93,2516.09,2574.23117
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,100.55,1.14,59.13,3830.41,2565.5,2623.63667
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,100.59,3.1,62.11,3926.65,2612.71,2670.84712
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,101.74,1.7,60.84,4021.92,2658.2,2716.34329
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,100.04,1.6,61.06,4115.62,2703.7,2761.84444
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,97.78,2.84,59.14,4212.33,2751.92,2810.05609
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,93.44,4.17,57.69,4307.5,2801.78,2859.91902
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,88.22,4.73,56.56,4403.18,2853.74,2911.87982
500292373000,MPM-30,MILNEPT,MILNE_SCHRADER,FINAL1,83.82,4.44,54.47,4497.54,2907.18,2965.32083
