api,sw_name,bu_id,project,azimuth,dog_leg,inclination,meas_depth,subsea_depth,tvd_depth
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,0.0,0.0,0.0,0.0,-63.72,0.0
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,0.0,0.0,0.0,46.92,-16.8,46.92
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,194.69,0.67,0.99,195.12,131.39,195.11263
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,216.5,0.87,1.64,287.79,224.04,287.75827
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,287.69,4.02,3.92,380.46,316.61,380.33357
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,302.27,2.93,6.54,479.91,415.65,479.36506
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,320.2,3.01,8.17,572.92,507.9,571.61876
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,328.0,3.37,11.03,665.94,599.61,663.33045
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,331.55,3.61,14.3,758.95,690.35,754.06648
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,329.41,3.31,20.51,947.77,870.43,934.15494
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,327.58,3.54,23.79,1042.37,958.04,1021.76262
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,326.62,4.41,27.92,1136.47,1042.71,1106.4254
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,325.97,4.44,32.1,1230.95,1124.5,1188.22145
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,324.71,5.29,37.04,1325.26,1202.14,1265.85659
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,324.33,4.26,41.05,1419.47,1275.29,1339.01031
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,323.91,2.78,43.66,1513.89,1345.06,1408.77961
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,324.12,1.84,45.38,1607.51,1411.81,1475.529
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,323.85,6.09,51.13,1702.0,1474.7,1538.41599
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,321.87,4.23,54.8,1796.5,1531.61,1595.32785
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,319.4,4.63,58.67,1891.32,1583.61,1647.33393
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,321.66,3.42,61.22,1985.42,1630.74,1694.46328
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,320.23,4.05,64.81,2079.58,1673.46,1737.18432
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,320.03,4.59,69.15,2174.28,1710.49,1774.2087
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,320.72,5.84,74.64,2268.95,1739.9,1803.61796
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,318.17,2.87,75.8,2363.89,1764.12,1827.8419
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,319.64,1.99,77.01,2458.05,1786.26,1849.97628
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,318.23,2.04,78.34,2551.79,1806.27,1869.98688
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,318.85,3.07,75.51,2646.12,1827.61,1891.32549
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,320.56,1.99,74.61,2740.54,1851.95,1915.66973
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,320.2,1.25,73.5,2833.84,1877.58,1941.30089
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,318.55,2.0,74.52,2927.95,1903.51,1967.22726
500292382700,MPR-111,MILNEPT,MILNE_SCHRADER,317.91,2.67,76.97,3022.65,1926.83,1990.54508
