api,sw_name,bu_id,project,survey_num,azimuth,dog_leg,inclination,meas_depth,subsea_depth,tvd_depth
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,0.0,0.0,0.0,0.0,-67.1,0.0
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,324.0,0.0,0.5,175.0,107.9,174.99778
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,15.48,0.59,0.91,295.91,228.8,295.89942
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,4.14,0.9,0.12,384.24,317.13,384.22516
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,252.36,0.27,0.17,472.78,405.66,472.76487
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,232.23,0.07,0.14,562.82,495.7,562.80454
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,219.64,0.1,0.22,654.14,587.02,654.12407
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,216.05,0.04,0.25,746.04,678.92,746.02329
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,209.33,0.41,0.63,840.01,772.89,839.99035
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,208.41,0.35,0.96,934.28,867.15,934.25115
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,43.93,1.37,0.33,1027.66,960.53,1027.62771
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,51.61,0.24,0.55,1120.67,1053.53,1120.6348
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,54.98,0.31,0.84,1213.93,1146.79,1213.88784
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,16.51,1.01,1.44,1307.31,1240.15,1307.25017
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,348.6,3.02,4.02,1401.1,1333.83,1400.92902
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,335.23,0.99,3.89,1494.56,1427.07,1494.16843
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,307.15,2.34,4.62,1587.8,1520.06,1587.16077
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,303.54,0.74,5.24,1681.47,1613.38,1680.48401
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,318.29,1.47,5.43,1775.35,1706.86,1773.96172
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,319.73,0.18,5.53,1868.8,1799.88,1866.98458
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,321.98,0.39,5.82,1962.18,1892.81,1959.90692
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,321.45,1.56,7.27,2055.35,1985.37,2052.46724
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,320.0,4.59,11.54,2148.49,2077.23,2144.3341
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,320.82,5.67,16.85,2242.18,2168.03,2235.13103
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,321.93,5.23,21.72,2335.61,2256.19,2323.29219
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,322.82,2.9,24.4,2428.77,2341.9,2409.00071
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,321.66,5.32,29.4,2523.29,2426.17,2493.26725
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,321.38,4.44,33.55,2616.9,2505.99,2573.08682
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,320.66,3.7,36.97,2709.95,2581.96,2649.055
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,320.97,2.24,34.97,2799.73,2654.61,2721.71254
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,319.58,2.65,32.61,2893.38,2732.44,2799.539
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,319.96,1.04,33.56,2986.7,2810.63,2877.72744
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,320.03,1.69,35.14,3080.43,2888.01,2955.10906
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,319.71,0.84,35.9,3173.36,2963.65,3030.74549
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,319.38,1.31,37.11,3266.63,3038.62,3105.71505
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,317.65,3.62,33.86,3360.46,3115.01,3182.10949
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,316.12,0.94,33.65,3453.84,3192.65,3259.74897
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,311.38,2.86,33.06,3547.11,3270.57,3337.66862
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,299.89,6.77,33.53,3640.38,3348.61,3415.70726
500292309800,MPS-23,MILNEPT,MILNE_SCHRADER,SRVY_1,290.87,5.7,35.15,3733.93,3425.9,3493.00007
