,api,sw_name,bu_id,project,azimuth,dog_leg,inclination,meas_depth,subsea_depth,tvd_depth
0,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,0.0,0.0,0.0,0.0,-70.57,0.0
1,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,0.0,0.0,0.0,33.87,-36.7,33.87
2,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,303.09,0.2,0.18,123.69,53.12,123.68985
3,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,308.02,0.29,0.44,212.58,142.01,212.57848
4,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,153.31,3.48,2.82,305.13,234.53,305.09548
5,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,148.02,3.73,6.22,396.88,325.98,396.54705
6,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,153.13,3.87,9.83,491.85,420.0,490.57264
7,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,157.01,3.62,13.1,584.61,510.9,581.47077
8,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,159.65,4.62,17.25,675.64,598.74,669.3085
9,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,159.12,4.31,21.3,769.65,687.46,758.03043
10,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,160.35,3.57,24.66,864.66,774.92,845.4886
11,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,161.06,2.61,27.13,960.13,860.8,931.36668
12,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,161.06,2.23,29.24,1054.82,944.25,1014.82442
13,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,160.0,3.22,32.25,1149.77,1025.85,1096.42065
14,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,159.12,5.0,37.0,1245.28,1104.42,1174.9929
15,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,159.47,3.45,40.26,1339.92,1178.35,1248.9154
16,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,160.71,4.49,44.41,1434.19,1248.02,1318.5879
17,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,161.06,2.9,47.14,1528.64,1313.89,1384.45885
18,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,158.94,4.94,51.63,1625.16,1376.71,1447.27914
19,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,158.24,0.8,52.16,1720.51,1435.55,1506.12067
20,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,157.18,5.46,57.27,1815.42,1490.36,1560.92812
21,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,158.24,0.95,57.18,1910.13,1541.63,1612.20001
22,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,157.89,3.44,60.44,2005.36,1590.94,1661.51141
23,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,158.77,6.34,66.43,2100.62,1633.52,1704.09467
24,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,159.65,7.24,73.22,2195.09,1666.09,1736.65838
25,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,161.94,2.31,73.57,2291.16,1693.55,1764.11643
26,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,161.06,0.96,73.92,2386.16,1720.14,1790.70921
27,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,158.42,2.78,74.63,2481.11,1745.88,1816.44729
28,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,157.94,3.15,72.09,2563.16,1769.37,1839.94164
29,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,157.82,0.14,72.02,2658.06,1798.61,1869.18131
30,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,158.57,2.57,74.34,2752.66,1825.98,1896.55443
31,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,158.86,0.87,73.56,2847.85,1852.3,1922.87267
32,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,159.13,3.72,77.07,2942.58,1876.31,1946.88409
33,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,159.04,0.23,76.87,3038.39,1897.92,1968.48619
34,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,158.36,2.67,74.43,3133.15,1921.4,1991.97106
35,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,157.09,2.21,76.12,3227.72,1945.44,2016.00955
36,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,156.32,0.8,75.94,3323.78,1968.63,2039.20074
37,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,157.9,3.68,72.8,3418.47,1994.14,2064.71144
38,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,158.7,0.81,72.78,3513.0,2022.11,2092.6815
39,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,159.06,0.37,72.86,3607.91,2050.15,2120.7162
40,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,159.65,0.9,72.22,3702.52,2078.53,2149.10366
41,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,160.27,0.86,72.8,3798.38,2107.34,2177.91411
42,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,160.7,0.44,72.73,3892.87,2135.34,2205.91142
43,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,161.52,1.09,72.06,3987.55,2163.98,2234.54856
44,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,160.6,1.29,72.93,4083.34,2192.79,2263.36204
45,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,159.49,1.46,73.82,4178.07,2219.9,2290.46603
46,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,159.31,3.26,76.89,4272.52,2243.77,2314.34356
47,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,159.61,2.96,74.34,4359.18,2265.3,2335.87191
48,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,158.34,3.97,70.14,4469.42,2298.92,2369.49289
49,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,158.09,4.96,68.29,4507.0,2312.26,2382.82828
50,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,158.63,0.53,68.3,4601.18,2347.09,2417.65944
51,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,154.46,5.28,71.44,4696.27,2379.82,2450.39401
52,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,152.81,1.68,71.18,4790.81,2410.12,2480.69158
53,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,150.85,2.08,70.46,4886.37,2441.52,2512.08969
54,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,148.47,3.54,67.92,4981.67,2475.38,2545.94898
55,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,141.77,6.52,67.61,5076.91,2511.45,2582.02413
56,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,137.85,6.03,63.16,5171.4,2550.81,2621.38431
57,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,134.58,5.01,59.31,5267.13,2596.88,2667.45275
58,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,129.8,5.84,55.46,5362.47,2648.28,2718.85208
59,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,125.83,6.0,50.68,5458.03,2705.7,2776.26664
60,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,118.9,5.92,48.9,5552.35,2766.63,2837.19996
61,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,114.22,3.78,48.08,5647.68,2829.83,2900.39947
62,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,107.94,5.26,45.99,5743.59,2895.23,2965.79879
63,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,103.65,4.26,43.31,5838.33,2962.64,3033.20774
64,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,94.64,6.86,45.08,5933.43,3030.89,3101.45755
65,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,87.46,5.35,44.29,6029.01,3098.89,3169.45708
66,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,79.09,6.53,41.81,6124.4,3168.65,3239.21667
67,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,73.2,7.18,47.24,6219.35,3236.34,3306.91494
68,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,65.71,5.92,48.24,6314.45,3300.35,3370.91871
69,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,58.47,5.9,49.39,6408.84,3362.55,3433.11994
70,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,53.7,4.53,51.67,6504.45,3423.34,3493.914
71,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,47.98,5.06,53.2,6599.05,3481.05,3551.61669
72,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,42.2,4.88,53.29,6693.94,3537.86,3608.42963
73,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,35.96,6.53,56.59,6787.03,3591.36,3661.9321
74,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,31.18,5.97,60.68,6883.82,3641.75,3712.3212
75,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,28.4,2.62,61.2,6978.49,3687.74,3758.31201
76,500292381200,MPS-54,MILNEPT,MILNE_SCHRADER,28.08,1.48,62.56,7072.49,3732.05,3802.61559
