api,sw_name,bu_id,project,azimuth,dog_leg,inclination,meas_depth,subsea_depth,tvd_depth
500292383800,MPS-67,MILNEPT,MILNE_SCHRADER,0.0,0.0,0.0,0.0,-88.6,0.0
500292383800,MPS-67,MILNEPT,MILNE_SCHRADER,237.0,0.0,0.0,47.2,-41.4,47.2
500292383800,MPS-67,MILNEPT,MILNE_SCHRADER,16.1,0.29,0.49,218.5,129.9,218.49791
500292383800,MPS-67,MILNEPT,MILNE_SCHRADER,19.21,0.2,0.67,311.77,223.16,311.7631
500292383800,MPS-67,MILNEPT,MILNE_SCHRADER,269.84,1.84,1.47,410.19,321.57,410.17169
500292383800,MPS-67,MILNEPT,MILNE_SCHRADER,259.98,1.97,3.31,505.63,416.92,505.52492
500292383800,MPS-67,MILNEPT,MILNE_SCHRADER,249.51,3.37,6.36,599.42,510.37,598.9718
500292383800,MPS-67,MILNEPT,MILNE_SCHRADER,240.24,4.84,10.66,692.35,602.26,690.8612
500292383800,MPS-67,MILNEPT,MILNE_SCHRADER,237.73,2.93,13.38,786.72,694.55,783.15412
500292383800,MPS-67,MILNEPT,MILNE_SCHRADER,232.71,3.26,16.17,880.79,785.51,874.10847
500292383800,MPS-67,MILNEPT,MILNE_SCHRADER,232.31,2.81,18.85,976.16,876.45,965.05123
500292383800,MPS-67,MILNEPT,MILNE_SCHRADER,237.58,3.2,21.27,1070.62,965.18,1053.78151
500292383800,MPS-67,MILNEPT,MILNE_SCHRADER,238.08,2.87,23.94,1163.75,1051.15,1139.74933
500292383800,MPS-67,MILNEPT,MILNE_SCHRADER,237.85,3.84,27.56,1258.05,1136.07,1224.67117
500292383800,MPS-67,MILNEPT,MILNE_SCHRADER,238.4,3.8,31.12,1352.05,1218.0,1306.60064
500292383800,MPS-67,MILNEPT,MILNE_SCHRADER,234.47,5.49,35.81,1446.17,1296.51,1385.10526
500292383800,MPS-67,MILNEPT,MILNE_SCHRADER,237.54,2.82,37.72,1540.29,1371.91,1460.50768
500292383800,MPS-67,MILNEPT,MILNE_SCHRADER,237.05,2.49,40.04,1634.35,1445.13,1533.72523
500292383800,MPS-67,MILNEPT,MILNE_SCHRADER,236.81,2.06,41.99,1729.49,1516.91,1605.50878
500292383800,MPS-67,MILNEPT,MILNE_SCHRADER,237.17,4.96,46.67,1824.03,1584.52,1673.11737
500292383800,MPS-67,MILNEPT,MILNE_SCHRADER,239.96,5.06,50.97,1918.57,1646.76,1735.35771
500292383800,MPS-67,MILNEPT,MILNE_SCHRADER,239.07,5.57,56.13,2012.11,1702.31,1790.91411
500292383800,MPS-67,MILNEPT,MILNE_SCHRADER,239.89,2.43,58.34,2107.29,1753.82,1842.42287
500292383800,MPS-67,MILNEPT,MILNE_SCHRADER,237.28,5.35,62.76,2200.27,1799.53,1888.13288
500292383800,MPS-67,MILNEPT,MILNE_SCHRADER,236.14,6.51,68.78,2294.12,1838.03,1926.63284
500292383800,MPS-67,MILNEPT,MILNE_SCHRADER,232.66,4.78,71.9,2388.67,1869.85,1958.44836
